"","level_0","index","series_name","network","season","title","imdb","engagement","date_aired","run_time","format","monster_name","monster_gender","monster_type","monster_subtype","monster_species","monster_real","monster_amount","caught_fred","caught_daphnie","caught_velma","caught_shaggy","caught_scooby","captured_fred","captured_daphnie","captured_velma","captured_shaggy","captured_scooby","unmask_fred","unmask_daphnie","unmask_velma","unmask_shaggy","unmask_scooby","snack_fred","snack_daphnie","snack_velma","snack_shaggy","snack_scooby","unmask_other","caught_other","caught_not","trap_work_first","setting_terrain","setting_country_state","suspects_amount","non_suspect","arrested","culprit_name","culprit_gender","culprit_amount","motive","if_it_wasnt_for","and_that","door_gag","number_of_snacks","split_up","another_mystery","set_a_trap","jeepers","jinkies","my_glasses","just_about_wrapped_up","zoinks","groovy","scooby_doo_where_are_you","rooby_rooby_roo","batman","scooby_dum","scrappy_doo","hex_girls","blue_falcon","fred_va","daphnie_va","velma_va","shaggy_va","scooby_va"
"11",10,11,"Scooby Doo, Where Are You!","CBS","1","A Gaggle of Galloping Ghosts",5.7,190.13,"1969-11-22",21,"Serie","Werewolf,Dracula,Frankenstein's Monster","Male,Male,Male","Animal,Undead,Undead","Werewolf,Vampire,Frankenstein's Monster","Human,Human,Human","False",3,"False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Forest","United States",1,"False","True","Big Bob Oakly","Male",1,"Treasure","these blasted kids","dog","False","0",0,0,0,0,0,1,0,0,0,0,1,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"12",11,12,"Scooby Doo, Where Are You!","CBS","1","Scooby-Doo and a Mummy, Too",5.8,205.93,"1969-11-29",21,"Serie","Mummy of Ankha","Male","Undead","Mummy","Human","False",1,"False","False","False","False","True","False","False","False","False","True","True","False","False","False","False","False","False","False","True","False","False","False","False","","Urban","United States",1,"False","True","Dr. Najib","Male",1,"Theft","","","False","1 box",1,0,0,0,0,0,0,6,1,0,3,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"13",12,13,"Scooby Doo, Where Are You!","CBS","1","Which Witch is Which",4.4,151.86,"1969-12-06",21,"Serie","Zombie,Witch","Male,Female","Undead,Magician","Zombie,Witch","Human,Human","False",2,"True","False","False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","Swamp","United States",2,"False","True","Zeke,Zeb Perkins","Male,Male",2,"Theft","","","False","0",0,0,0,0,0,0,0,3,0,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"14",13,14,"Scooby Doo, Where Are You!","CBS","1","Go Away Ghost Ship",5.3,191.48,"1969-12-13",22,"Serie","Ghost of Redbeard","Male","Ghost","Pirate","Human","False",1,"False","False","False","True","True","True","True","True","True","True","False","False","True","False","False","False","False","False","False","False","False","False","False","","Ocean","United States",2,"False","True","Mr. Magnus","Male",1,"Theft","","","False","0",0,0,0,0,0,0,0,5,0,1,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"15",14,15,"Scooby Doo, Where Are You!","CBS","1","Spooky Space Kook",4.7,162.4,"1969-12-20",21,"Serie","Spooky Space Kook","Male","Extraterrestrial","Phantom","Alien","False",1,"True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","","Rural","United States",1,"True","True","Henry Bascombe","Male",1,"Competition","","","False","0",1,0,0,0,0,0,0,8,0,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"16",15,16,"Scooby Doo, Where Are You!","CBS","1","A Night of Fright Is No Delight",5,162.64,"1970-01-10",21,"Serie","Green Ghost,Green Ghost","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human","False",2,"False","False","False","True","True","False","False","False","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","Island","United States",3,"False","True","Cosgood Creeps,Mr. Crawls","Male,Male",2,"Inheritance","","","False","1",0,0,0,0,0,0,0,3,0,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"17",16,17,"Scooby Doo, Where Are You!","CBS","1","That's Snow Ghost",4.9,170.86,"1970-01-17",21,"Serie","Snow Ghost","Male","Ghost","Snow","Yeti","False",1,"False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Snow","United States",3,"False","True","Mr. Greenway","Male",1,"Theft","","","False","a couple",0,0,0,0,0,1,0,4,0,0,0,"False","False","False","False","False","Frank Welker","Stefanianna Christopherson","Nicole Jaffe","Casey Kasem","Don Messick"
"18",17,18,"Scooby Doo, Where Are You!","CBS","2","Nowhere to Hyde",6.6,212.58,"1970-09-12",21,"Serie","Ghost of Mr. Hyde","Male","Ghost","Split-Personality","Human","False",1,"True","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","Forest","United States",2,"False","True","Dr. Jekyll","Male",1,"Theft","","","False","1 box",0,0,0,0,0,0,0,3,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"19",18,19,"Scooby Doo, Where Are You!","CBS","2","Mystery Mask Mix-Up",4,151.85,"1970-09-19",21,"Serie","Ghost of Zen Tuo,Scare Pair,Scare Pair","Male,Male,Male","Ghost,Ghost,Ghost","Zombie,Zombie,Zombie","Human,Human,Human","False",3,"True","False","False","False","False","True","True","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","Urban","California",1,"False","True","A. Fong","Male",1,"Smuggling","","","False","1",1,0,1,0,0,0,0,3,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"20",19,20,"Scooby Doo, Where Are You!","CBS","2","Scooby's Night with a Frozen Fright",6.2,212.23,"1970-09-26",21,"Serie","Caveman","Male","Ancient","Caveman","Human","False",1,"False","False","False","True","True","False","False","True","True","True","True","True","True","True","True","False","False","False","False","False","False","False","False","False","Urban","United States",2,"False","True","Prof. Wayne","Male",1,"Theft","those meddling kids","","False","1",0,0,0,0,0,0,0,7,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"21",20,21,"Scooby Doo, Where Are You!","CBS","2","Jeepers, It's the Creeper",7.2,225.27,"1970-10-03",21,"Serie","Creeper","Male","Ghost","Phantom","Human","False",1,"False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","True","Rural","United States",2,"False","True","Mr. Carswell","Male",1,"Theft","","","True","1",0,0,0,0,0,1,0,7,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"22",21,22,"Scooby Doo, Where Are You!","CBS","2","Haunted House Hang-Up",5.5,205.67,"1970-10-10",21,"Serie","Headless Specter","Male","Ghost","Headless","Human","False",1,"False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Rural","United States",1,"True","False","Penrod Stillwall","Male",1,"Treasure","you snoopers","","False","3",0,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"23",22,23,"Scooby Doo, Where Are You!","CBS","2","A Tiki Scare Is No Fair",3.2,119.51,"1970-10-17",21,"Serie","Witch Doctor,Mano Tiki Tia","Female,Male","Ancient,Possessed Object","Witch Doctor,Statue","Human,Object","False",2,"False","False","False","True","True","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","Jungle","Hawaii",1,"False","True","John Simms","Male",1,"Theft","","","False","1",0,1,1,0,0,0,0,6,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"24",23,24,"Scooby Doo, Where Are You!","CBS","2","Who's Afraid of the Big Bad Werewolf?",5.3,188.38,"1970-10-24",21,"Serie","Werewolf","Male","Animal","Werewolf","Human","False",1,"False","False","False","True","True","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Rural","United States",0,"True","True","Sheep Rustler","Male",1,"Smuggling","","","False","0",1,1,1,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"25",24,25,"Scooby Doo, Where Are You!","CBS","2","Don't Fool with a Phantom",5.2,177.33,"1970-10-31",21,"Serie","Wax Phantom","Male","Ghost","Statue","Human","False",1,"True","False","False","False","False","True","True","True","True","True","True","False","False","False","False","False","False","True","False","False","False","False","False","True","Urban","United States",3,"False","True","Mr. Rodger Stevens","Male",1,"Theft","","","False","1 box",0,0,1,0,0,0,0,4,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"26",25,26,"The New Scooby-Doo Movies","CBS","1","The Ghastly Ghost Town",5.7,181.47,"1972-09-09",43,"Serie","Giant Bat,Geronimo,Gunslinger,Robot Gunslinger,Cactus","Male,Male,Male,Male,None","Animal,Ancient,Ancient,Mechanical,Plant","Bat,Indian,Cowboy,Humanoid,Cactus","Bat,Human,Human,Robot,Cactus","False",2,"False","False","False","True","True","True","True","True","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","True","Desert","United States",2,"False","True","Rhino,Amos Crunch","Male,Male",2,"Natural Resource","","","False","0",0,0,0,0,0,0,0,1,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"27",26,27,"The New Scooby-Doo Movies","CBS","1","The Dynamic Scooby-Doo Affair",4.5,164.31,"1972-09-16",41,"Serie","Hooded Man,Skeletons","Male,Male","Disguised,Skeleton","Hooded,Humaniod","Human,Human","False",2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","True","False","","Rural","United States",1,"False","True","Mrs. Baker","Female",1,"Counterfeit","that dumb dog","","False","3",0,0,0,0,0,1,0,3,0,3,3,"True","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"28",27,28,"The New Scooby-Doo Movies","CBS","1","Wednesday Is Missing",5.9,195.57,"1972-09-23",41,"Serie","The Vulture","Female","Animal","Bird","Vulture","False",1,"True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","","Forest","United States",2,"False","False","House Keeping Couple","Male,Female",2,"Safety","","","False","1",0,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"29",28,29,"The New Scooby-Doo Movies","CBS","1","The Frickert Fracas",5.6,168.91,"1972-09-30",43,"Serie","Scarecrow","Male","Possessed Object","Scarecrow","Human","False",1,"True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","","Rural","United States",4,"False","True","Simon Shakey","Male",1,"Treasure","","","True","0",0,0,0,1,1,0,0,9,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"30",29,30,"The New Scooby-Doo Movies","CBS","1","Guess Who's Knott Coming to Dinner?",4,148.58,"1972-10-07",43,"Serie","Ghost of Captain Moody,Ghost of Captain Moody","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human","False",2,"False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","Forest","United States",1,"True","True","Captain Moody's Nephews,Captain Moody's Nephews","Male,Male",2,"Inheritance","","","True","0",0,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"31",30,31,"The New Scooby-Doo Movies","CBS","1","A Good Medium Is Rare",7.1,227.91,"1972-10-14",41,"Serie","The Gargoyle,Phantoms,Phantoms","Male,Male,Male","Possessed Object,Ghost,Ghost","Statue,Phantom,Phantom","Gargoyle,Human,Human","False",3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","","Forest","United States",4,"False","True","Alberto","Male",1,"Theft","","","False","0",0,0,0,0,1,0,0,1,0,1,1,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"32",31,32,"The New Scooby-Doo Movies","CBS","1","Sandy Duncan's Jekyll and Hyde",4.4,145.7,"1972-10-21",41,"Serie","Ghost,Sheik,Mummy,Pirate,Dragon,Wolfman,Grizzly Bear,Indian,Mr. Hyde","Male,Male,Male,Male,Male,Male,Male,Male,Male","Ghost,Disguised,Undead,Disguised,Animal,Animal,Animal,Ancient,Disguised","Phantom,Sheik,Mummy,Pirate,Dragon,Humanoid,Bear,Indian,Split-Personality","Human,Human,Human,Human,Dragon,Human,Bear,Human,Human","False",9,"True","False","False","True","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","Urban","United States",4,"True","False","Zalia Z. Fairchild","Male",1,"Preservation","","","False","0",0,0,0,0,1,0,0,0,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"33",32,33,"The New Scooby-Doo Movies","CBS","1","The Secret of Shark Island",5.5,188.39,"1972-10-28",41,"Serie","Shark Men,Shark Men","Male,Male","Animal,Animal","Sea-Monster,Sea-Monster","Shark,Shark","False",2,"True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Island","United States",2,"False","True","Milo Meekly","Male",1,"Treasure","","","False","0",0,0,0,0,0,0,0,1,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"34",33,34,"The New Scooby-Doo Movies","CBS","1","The Spooky Fog of Juneberry",5.1,170.22,"1972-11-04",43,"Serie","Skeleton Man,Lady Ghost,3-Eyed Spook,Giant,Brontosaurus,Headless Horsemen of Sleepy Hollow,Skeleton Stage Driver","Male,Female,Male,Male,Male,Male,Male","Undead,Ghost,Ghost,Ghost,Ancient,Ghost,Ghost","Skeleton,Phantom,Phantom,Phantom,Brontosaurus,Headless,Phantom","Human,Human,Human,Human,Dinosaur,Human,Human","False",7,"False","False","False","False","True","False","False","False","True","True","True","False","False","False","False","False","True","False","False","False","False","False","False","","Desert","United States",2,"False","True","Gene Haultrey","Male",1,"Theft","you people","","False","3",1,0,0,0,1,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"35",34,35,"The New Scooby-Doo Movies","CBS","1","The Ghost of Bigfoot",3.6,149.76,"1972-11-11",43,"Serie","The Ghost of Bigfoot","Male","Ghost","Half-Human","Big Foot","False",1,"False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","","Snow","Vermont",4,"False","True","Jonathan Crabtree","Male",1,"Theft","","","True","0",0,0,0,0,1,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"36",35,36,"The New Scooby-Doo Movies","CBS","1","The Ghost of the Red Baron",5.2,181.95,"1972-11-18",43,"Serie","Ghost of the Red Baron","Male","Ghost","Pilot","Human","False",1,"True","False","False","False","False","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Rural","United States",3,"False","True","Mr. Siegfried","Male",1,"Competition","","","False","0",0,0,0,0,0,0,0,1,0,0,3,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"37",36,37,"The New Scooby-Doo Movies","CBS","1","The Ghostly Creep from the Deep",4.8,141.6,"1972-11-25",43,"Serie","Ghost of Redbeard,Ghost of Redbeard's crew,Ghost of Redbeard's crew,Ghost of Redbeard's crew","Male,Male,Male,Male","Ghost,Ghost,Ghost,Ghost","Pirate,Pirate,Pirate,Pirate","Human,Human,Human,Human","False",4,"False","False","False","False","True","False","False","False","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","","Swamp","United States",1,"True","True","Oil Pirate","Male",1,"Natural Resource","","","False","1",0,0,0,0,1,0,0,0,1,1,1,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"38",37,38,"The New Scooby-Doo Movies","CBS","1","The Haunted Horseman of Hagglethorn Hall",4.7,171.66,"1972-12-02",41,"Serie","Haunted Horseman,Moat Monster","Male,Male","Ghost,Animal","Horseman,Amphibian","Human,Frog","False",2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Rural","United States",4,"False","False","Duke of Strathmore,Cyrus Wheedly","Male,Male",2,"Competition","brats","","False","0",0,0,0,0,1,0,0,1,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"39",38,39,"The New Scooby-Doo Movies","CBS","1","The Phantom of the Country Music Hall",7.1,229.42,"1972-12-09",41,"Serie","Possessed Viking Mannequin,Possessed Davy Crockett Mannequin","Male,Male","Possessed Object,Possessed Object","Viking,Soldier","Human,Human","False",2,"True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","Urban","Tennessee",2,"False","True","Bertha,Ben Bing","Female,Male",2,"Theft","","","False","0",0,0,0,0,0,0,0,1,0,1,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"40",39,40,"The New Scooby-Doo Movies","CBS","1","The Caped Crusader Caper",6.6,211.43,"1972-12-16",43,"Serie","Dryad,Troll","Male,Male","Mythical,Mythical","Tree,Humanoid","Dryad,Troll","False",2,"False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","","Forest","United States",2,"False","True","The Joker,The Penguin","Male,Male",2,"Theft","","","False","0",0,0,0,1,1,0,0,5,0,1,1,"True","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"41",40,41,"The New Scooby-Doo Movies","CBS","1","The Lochness Mess",5,160.1,"1972-12-23",43,"Serie","Sea Serpent,Ghost of Paul Revere,Minuteman Ghost,Redcoat Ghost","Male,Male,Male,Male","Mythical,Ghost,Ghost,Ghost","Sea-Monster,Phantom,Phantom,Phantom","Serpent,Human,Human,Human","False",4,"False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","","Rural","Massachusetts",4,"False","True","Morgan,Winslow,Selby","Male,Male,Male",3,"Treasure","","","False","0",0,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"42",41,42,"The New Scooby-Doo Movies","CBS","2","The Mystery of Haunted Island",5,178.24,"1973-09-08",44,"Serie","Hooded Ghosts,Hooded Ghosts,Hooded Ghosts","Male,Male,Male","Ghost,Ghost,Ghost","Phantom,Phantom,Phantom","Human,Human,Human","False",3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","","Island","United States",2,"False","False","Scorpions Owner,Scorpions Coach,Scorpions Trainer","Male,Male,Male",3,"Competition","","","False","0",0,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"43",42,43,"The New Scooby-Doo Movies","CBS","2","The Haunted Showboat",6.1,190.81,"1973-09-15",43,"Serie","Ghost of Injun Joe,Ghost of Captain Scavenger","Male,Male","Ghost,Ghost","Phantom,Phantom","Human,Human","False",2,"False","False","False","True","True","True","True","True","True","True","False","False","False","False","False","False","False","False","False","False","True","False","False","","Coast","Missouri",3,"False","True","Jack Canna,Jack Canna's Partner","Male,Male",2,"Counterfeit","","","False","0",1,0,0,0,1,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"44",43,44,"The New Scooby-Doo Movies","CBS","2","Mystery in Persia",6.7,217.98,"1973-09-22",43,"Serie","Jadal","Male","Mythical","Phantom","Genie","True",1,"False","False","False","False","False","True","True","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","","Desert","Iran",3,"False","True","Abdullah","Male",1,"Competition","","","False","3",0,0,0,1,1,0,0,0,0,0,2,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
"45",44,45,"The New Scooby-Doo Movies","CBS","2","The Spirited Spooked Sports Show",5.9,204.37,"1973-09-29",43,"Serie","Spirit of Fireball McPhan","Male","Ghost","Phantom","Human","False",1,"True","False","False","False","True","True","True","True","True","True","True","False","False","False","False","False","False","False","False","False","True","True","False","","Urban","United States",3,"False","True","Jesse Finster,Mr Griffith's Twin Brother","Male,Male",2,"Competition","","","False","0",1,0,0,0,0,0,0,0,0,0,0,"False","False","False","False","False","Frank Welker","Heather North","Nicole Jaffe","Casey Kasem","Don Messick"
